,Grand Total
ALABAMA,107
ALASKA,141
ARIZONA,"2,964"
ARKANSAS,7
CALIFORNIA,"6,108"
COLORADO,"1,813"
CONNECTICUT,543
DISTRICT OF COLUMBIA,29
FLORIDA,"3,519"
GEORGIA,"2,694"
HAWAII,2
IDAHO,978
ILLINOIS,"2,578"
INDIANA,"1,613"
IOWA,692
KANSAS,490
KENTUCKY,"1,849"
LOUISIANA,211
MAINE,388
MARYLAND,"1,227"
MASSACHUSETTS,"1,941"
MICHIGAN,"4,006"
MINNESOTA,"2,232"
MISSISSIPPI,7
MISSOURI,"1,392"
NEBRASKA,"1,076"
NEVADA,569
NEW HAMPSHIRE,345
NEW JERSEY,363
NEW MEXICO,163
NEW YORK,"4,082"
NORTH CAROLINA,"2,443"
NORTH DAKOTA,582
OHIO,"2,815"
OKLAHOMA,389
OREGON,"1,019"
PENNSYLVANIA,"2,739"
PUERTO RICO,2
RHODE ISLAND,188
SOUTH CAROLINA,121
SOUTH DAKOTA,523
TENNESSEE,"1,467"
TEXAS,"7,214"
UTAH,"1,085"
VERMONT,317
VIRGINIA,"1,310"
WASHINGTON,"2,483"
WEST VIRGINIA,28
WISCONSIN,"1,132"
